name,acceptance_bars,entry_mode,min_minutes,sessions,slippage,stop_ticks,stop_atr,tp1,runner,move_be,funnel_sessions_raw,funnel_sessions_eligible,funnel_sessions_range_gap_rejected,funnel_sessions_signal_path_truncated,funnel_break_attempts,funnel_acceptance_pass,funnel_acceptance_failed,funnel_immediate_extension_rejected,funnel_pullback_touch,funnel_pullback_rejection,funnel_failed_return_inside_pre_entry,funnel_failed_opposite_boundary_pre_entry,funnel_failed_extension_pre_entry,funnel_entry_window_expired,funnel_timing_filter_rejected,funnel_entry_signals,funnel_skipped_position_open,funnel_skipped_unsafe_gap_bridge,funnel_trades,all_trades,all_expectancy_r,all_median_r,all_profit_factor,all_win_rate,all_max_drawdown_r,all_net_r,all_return_dd,all_avg_hold_min,all_mfe_r,all_mae_r,development_trades,development_expectancy_r,development_median_r,development_profit_factor,development_win_rate,development_max_drawdown_r,development_net_r,development_return_dd,development_avg_hold_min,development_mfe_r,development_mae_r,validation_trades,validation_expectancy_r,validation_median_r,validation_profit_factor,validation_win_rate,validation_max_drawdown_r,validation_net_r,validation_return_dd,validation_avg_hold_min,validation_mfe_r,validation_mae_r,later_trades,later_expectancy_r,later_median_r,later_profit_factor,later_win_rate,later_max_drawdown_r,later_net_r,later_return_dd,later_avg_hold_min,later_mfe_r,later_mae_r
LATE60_S4T_A10_E1_2_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.1,1.0,2.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.0963744606150064,0.405,1.2150245886887303,0.5578231292517006,9.62698315801647,14.167045710405944,1.4715976415320644,24.6530612244898,1.197974180743395,0.7989600247820203,74,0.0704201035671301,0.3319230769230769,1.1482363046838138,0.527027027027027,8.469749581904647,5.211087663967636,0.6152587645685488,22.12162162162162,1.150274017424811,0.8085183417845232,36,0.1045889778675963,0.4581296292274236,1.2468324135193125,0.5833333333333334,5.941304587427693,3.7652032032334737,0.6337334078446281,32.888888888888886,1.2247177713715784,0.8393378686139532,35,0.208113090082786,0.463789153515888,1.544208992713581,0.6285714285714286,5.078303273605798,7.283958152897512,1.4343290978219998,22.2,1.3206249927002525,0.7251236138587226
LATE60_S4T_A10_E1_3_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.1,1.0,3.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1088950017879887,0.3944444444444444,1.2429596266510765,0.5578231292517006,8.003632558458511,16.007565262834337,2.0000375012114966,30.857142857142858,1.401853612600912,0.8032725461720644,74,0.0522606597257729,0.31,1.1100101630879,0.527027027027027,7.117372092992394,3.867288819707199,0.5433590894474726,29.17567567567568,1.3664445258822626,0.8085183417845232,36,0.1710572318358503,0.4405766275524116,1.4036990344950755,0.5833333333333334,4.941304587427695,6.158060346090613,1.246241804595237,38.05555555555556,1.3895761630061956,0.8393378686139532,35,0.2307262687636912,0.4432805644136313,1.6033417228416682,0.6285714285714286,5.078303273605798,8.075419406729194,1.5901806118395376,28.02857142857143,1.5503037572247476,0.7432362036969078
LATE60_S4T_A10_E125_4_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.1,1.25,4.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1391700581023771,0.4878378378378378,1.286561483560881,0.5238095238095238,7.111748415330345,20.45799854104942,2.87664823701432,35.795918367346935,1.618373095012677,0.8207579371693651,74,0.0857817996520066,-0.244366312283516,1.1644130168391245,0.4864864864864865,6.594749581904704,6.347853174248488,0.9625616705244316,34.32432432432432,1.603634267371039,0.8173098314108036,36,0.2118869241601204,0.5655766275523808,1.500058055351067,0.5833333333333334,3.0602947804954037,7.62792926976434,2.492547227273813,44.61111111111112,1.6031025790094242,0.8393378686139532,35,0.2450119830494078,0.5389651982686208,1.5555889677263433,0.5714285714285714,5.987800781176068,8.575419406729274,1.4321484164416325,31.142857142857142,1.7385715306031393,0.7980871249614346
LATE60_S4T_A10_E1_3_NOBE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.1,1.0,3.0,False,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1664422400641707,-0.0860348017313791,1.3604552477182763,0.3809523809523809,7.680990157366484,24.46700928943309,3.185397818270592,39.1156462585034,1.585358615494665,0.9437167086529662,74,0.1468552543203675,-0.1628571428571428,1.2967822427595677,0.3513513513513513,7.680990157366486,10.867288819707197,1.4148291557547272,35.2027027027027,1.5730219915839505,0.9287594595093454,36,0.260123744422767,-0.0202941328827809,1.606093124061866,0.4444444444444444,3.9014995060773145,9.364454799219615,2.400219398883103,50.80555555555556,1.5724263874574382,0.9582238673542972,35,0.1808133994342559,-0.0294236757225014,1.4613492058249185,0.4,5.122227409402756,6.328468980198957,1.2354916083151504,36.85714285714285,1.6961864681736631,0.9565948670798592
LATE60_S8T_A10_E1_2_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,8,0.1,1.0,2.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1048847879306706,0.4208333333333333,1.241932615985924,0.564625850340136,8.910088231376335,15.418063825808591,1.7304052917809294,26.374149659863946,1.1756928820282269,0.7580147134174265,74,0.0818622307851132,0.3913398692810457,1.1828462524360168,0.5405405405405406,7.814287821706404,6.057805078098378,0.7752216473612737,25.013513513513512,1.1256381560398043,0.7646803893296795,36,0.1082053078813491,0.4616704374057315,1.2568397992535212,0.5833333333333334,4.890664932716517,3.895391083728568,0.796495187734089,33.333333333333336,1.2428214541644642,0.8008052469955933,35,0.2157035018840694,0.463789153515888,1.5656510148274674,0.6285714285714286,5.077321147229452,7.549622565942433,1.4869302821355006,22.685714285714287,1.2623198576052883,0.6846521477178298
LATE60_S8T_A10_E1_3_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,8,0.1,1.0,3.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1190352753709246,0.4136363636363636,1.2745728540170058,0.564625850340136,6.639115120730635,17.498185479525926,2.6356201333047906,32.59863945578231,1.360809186665011,0.7629734734782273,74,0.0893318642969712,0.3913398692810457,1.1995303139576106,0.5405405405405406,5.904546650906179,6.610557957975877,1.1195707899032936,31.635135135135137,1.3250306567610686,0.7646803893296795,36,0.1715733634369046,0.4566410256410256,1.4072523713042515,0.5833333333333334,3.66357405479108,6.176641083728567,1.6859604832202029,38.833333333333336,1.4147710723672,0.8008052469955933,35,0.1941640382794934,0.4387096774193548,1.5091669089119506,0.6285714285714286,5.077321147229452,6.795741339782272,1.338450167464887,29.17142857142857,1.4413731568320085,0.7054789399731934
LATE60_S8T_A10_E125_4_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,8,0.1,1.25,4.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.0948114532105999,-0.0655172413793103,1.1873616003204042,0.4965986394557823,9.564287821706404,13.937283621958183,1.457221267466162,38.1156462585034,1.5521519766926135,0.8112443003491461,74,0.0655021188550803,-0.7622235872235872,1.12230573191811,0.4594594594594595,9.564287821706404,4.847156795275944,0.50679746214613,37.891891891891895,1.5443774261300838,0.8108883499454942,36,0.1112261219127961,0.560426267281106,1.2466442795861254,0.5555555555555556,4.669984311201336,4.004140388860661,0.8574205226463835,46.02777777777778,1.5428700079420845,0.8186623898527362,35,0.2048783239937819,0.5345238095238095,1.436272547124219,0.5428571428571428,7.602951966682555,7.17074133978237,0.943152261280328,31.714285714285715,1.6494922288335687,0.7921522348759832
LATE60_S8T_A10_E1_3_NOBE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,8,0.1,1.0,3.0,False,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1433303875550295,-0.073076923076923,1.321738515585713,0.3673469387755102,7.404546650906179,21.069566970589342,2.845490475505455,41.19047619047619,1.5171110007746844,0.9145646015139768,74,0.150142675107782,-0.0906818181818181,1.3233265645032075,0.3378378378378378,7.404546650906179,11.11055795797587,1.5005048224817576,37.85135135135136,1.5017015070667885,0.8885940033438838,36,0.204697718050658,-0.0313376623376623,1.4789590939004624,0.4166666666666667,3.8833542745713,7.369117849823688,1.8976166810423691,52.27777777777778,1.5466076262989246,0.9542585115672269,35,0.1335613161357304,-0.0294236757225014,1.3423921993854624,0.4,5.117746679144346,4.674646064750569,0.9134188067182998,38.285714285714285,1.588704808545055,0.9223352502482
LATE60_S4T_A25_E1_2_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.25,1.0,2.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.1104374473204487,0.4351156224281596,1.2468403296673798,0.5510204081632653,10.82793510824691,16.234304756105967,1.499298305153435,28.60544217687075,1.2004746195028444,0.7552069671748266,74,0.1293086191832814,0.4042631774784962,1.278157854321445,0.527027027027027,10.81128336075039,9.568837819562823,0.8850788107452461,26.72972972972973,1.202906113972941,0.7756302755128115,36,0.1120420371345153,0.4632359457635381,1.2676348791965948,0.5833333333333334,4.840779870954227,4.033513336842553,0.8332362644797265,35.55555555555556,1.188107704266416,0.7373733652448975,35,0.1348442268612895,0.452789804742777,1.3321485238635042,0.6,6.199748049419226,4.719547940145135,0.7612483446947893,26.142857142857142,1.258652045200799,0.7130630174524857
LATE60_S4T_A25_E1_3_BE,2,pullback,60,LONDON_2AM+NEW_YORK_9AM+ASIA_7PM,1.0,4,0.25,1.0,3.0,True,2294,2143,26,53,2069,1484,585,0,1075,532,550,25,269,108,385,147,0,0,147,147,0.0876474963909138,0.4055583389095261,1.1959021819915578,0.5510204081632653,8.81128336075039,12.884181969464334,1.4622367074082028,35.4421768707483,1.3738720991981226,0.7565595151317257,74,0.0940904919152858,0.3902704215934617,1.202399573272908,0.527027027027027,8.81128336075039,6.962696401731151,0.7902023027367707,34.45945945945946,1.423600025750509,0.7756302755128115,36,0.0776167695963229,0.4591727448956673,1.1854032226279705,0.5833333333333334,3.6237637393694255,2.7942037054676296,0.7710777816750964,43.52777777777778,1.3101053053418903,0.7373733652448975,35,0.1489964629345742,0.4417159234346244,1.3670083352957336,0.6,6.199748049419226,5.214876202710097,0.8411432466515493,30.314285714285717,1.3948282281993352,0.7187437188714616
